,count,unique,top,freq,mean,min,25%,50%,75%,max,std
vedic_chandra_speed_deg_per_day,45290.0,,,,13.234948995363213,11.76,12.19,13.17,14.16,28.71,1.0673393885746707
vedic_chandra_right_ascension,45290.0,,,,178.71280238463237,0.02,91.0,178.54,265.43,359.99,103.15852646416997
vedic_chandra_declination,45290.0,,,,0.2042779863104439,-28.7,-16.61,0.31,17.11,28.71,17.589421157644804
vedic_chandra_nakshatra,47533,28,nan,2243,,,,,,,
vedic_mangal_full_degree,45290.0,,,,167.9883437844999,0.0,83.67,155.87,261.71750000000003,359.98,101.49798561902412
vedic_mangal_padam,45290.0,,,,2.475888717156105,1.0,2.0,2.0,3.0,4.0,1.0934414375607675
vedic_mangal_speed_deg_per_day,45290.0,,,,0.5022614263634356,-0.41,0.44,0.63,0.66,0.77,0.27584525452697156
vedic_mangal_right_ascension,45290.0,,,,167.57683263413557,0.01,80.35249999999999,165.04,248.8975,359.98,98.22046866673898
vedic_mangal_declination,45290.0,,,,1.5656513579156548,-26.5,-15.1675,4.82,18.94,26.23,17.400697605134457
vedic_mangal_nakshatra,47533,28,U Ashadha,3069,,,,,,,
vedic_budha_full_degree,45290.0,,,,178.72823912563481,0.02,122.4,167.8,234.85750000000002,359.95,83.4904669953813
vedic_budha_padam,45290.0,,,,2.498145285935085,1.0,1.0,2.0,3.0,4.0,1.117669497051568
vedic_budha_speed_deg_per_day,45290.0,,,,0.9161035548686245,-1.38,0.18,1.31,1.65,2.2,0.9421479775465411
vedic_budha_right_ascension,45290.0,,,,188.83431596378892,0.01,140.93,184.8,245.53,359.98,84.58277954769262
vedic_budha_declination,45290.0,,,,-1.8776027820710972,-25.84,-15.78,-1.48,11.06,25.66,14.96720308218545
vedic_budha_nakshatra,47533,28,P Phalguni,3835,,,,,,,
vedic_guru_full_degree,45290.0,,,,194.86968602340474,0.02,86.68,208.78,276.5325,359.99,105.60812947271265
vedic_guru_padam,45290.0,,,,2.5482004857584455,1.0,2.0,3.0,3.0,4.0,1.0903586711861804
vedic_guru_speed_deg_per_day,45290.0,,,,0.07118414661073086,-0.14,-0.04,0.1,0.19,0.24,0.12456200233052703
vedic_guru_right_ascension,45290.0,,,,183.12725325678957,0.0,75.53,219.52,281.5625,359.99,111.36214171594698
vedic_guru_declination,45290.0,,,,-4.145892249944801,-23.31,-18.24,-8.68,14.07,23.27,16.486692434718297
vedic_guru_nakshatra,47533,25,Vishakha,4609,,,,,,,
vedic_shukra_full_degree,45290.0,,,,179.59892249944798,0.03,112.15,169.91,248.93,359.99,89.20490326061682
vedic_shukra_padam,45290.0,,,,2.481143740340031,1.0,1.0,2.0,3.0,4.0,1.119939623753233
vedic_shukra_speed_deg_per_day,45290.0,,,,0.9599704128946787,-0.63,0.96,1.19,1.23,1.25,0.47593614565386255
vedic_shukra_right_ascension,45290.0,,,,180.87045705453744,0.0,128.48,178.91,238.8675,359.98,89.97772913486264
vedic_shukra_declination,45290.0,,,,-0.35295848973283295,-27.25,-15.87,1.72,12.26,27.62,15.728591383615997
vedic_shukra_nakshatra,47533,28,Ashlesha,3824,,,,,,,
vedic_shani_full_degree,45290.0,,,,283.1433080150143,226.13,255.805,283.03,308.86,337.71,30.36575804385124
vedic_shani_padam,45290.0,,,,2.431728858467653,1.0,1.0,2.0,3.0,4.0,1.119693237641124
vedic_shani_speed_deg_per_day,45290.0,,,,0.008705895341134907,-0.08,-0.06,0.0,0.08,0.12,0.06963940528970536
vedic_shani_right_ascension,45290.0,,,,296.06715919629056,0.0,277.08,304.21,333.3,359.99,63.63459528135766
vedic_shani_declination,45290.0,,,,-16.563632810775005,-22.78,-22.07,-19.21,-12.03,-1.33,6.4794461016663245
vedic_shani_nakshatra,47533,11,Mula,6466,,,,,,,
vedic_arun_full_degree,45290.0,,,,31.808665930669022,0.0,8.782499999999999,18.795,28.79,359.99,67.19752407192
vedic_arun_padam,45290.0,,,,2.5413777875910797,1.0,2.0,3.0,4.0,4.0,1.116489591559434
vedic_arun_speed_deg_per_day,45290.0,,,,-0.005336498123206007,-0.05,-0.03,-0.01,0.02,0.05,0.032011723164157665
vedic_arun_right_ascension,45290.0,,,,39.51512055641422,19.21,30.38,38.54,49.06,59.39,10.860565965291107
vedic_arun_declination,45290.0,,,,14.658099359682051,7.46,11.78,14.69,17.81,20.24,3.45263839550963
vedic_arun_nakshatra,47533,5,Ashwini,16900,,,,,,,
vedic_varun_full_degree,45290.0,,,,326.8530282623096,315.14,321.88,326.66,332.04,337.95,5.958981854243585
vedic_varun_padam,45290.0,,,,2.451159196290572,1.0,1.0,2.0,4.0,4.0,1.2105732182168805
vedic_varun_speed_deg_per_day,45290.0,,,,-0.008727533671892251,-0.03,-0.03,-0.02,0.01,0.03,0.023162002179726155
vedic_varun_right_ascension,45290.0,,,,317.0636573194966,0.0,345.74,349.92,354.91,359.99,103.95998017825767
vedic_varun_declination,45290.0,,,,-4.578937513799955,-8.91,-6.47,-4.66,-2.64,-0.36,2.227939107052653
vedic_varun_nakshatra,47533,4,P Bhadrapada,30577,,,,,,,
vedic_yam_full_degree,45290.0,,,,270.2598944579377,260.59,266.31,270.32,274.04,279.23,4.750184961019106
vedic_yam_padam,45290.0,,,,2.7685361006844778,1.0,2.0,3.0,4.0,4.0,1.1025150344806334
vedic_yam_speed_deg_per_day,45290.0,,,,-0.003489512033561493,-0.03,-0.02,-0.01,0.02,0.03,0.02052745572128618
vedic_yam_right_ascension,45290.0,,,,-63.37787591079709,-74.2,-67.84,-63.34,-59.19,-53.34,5.366941643411132
vedic_yam_declination,45290.0,,,,-22.547859571649372,-23.62,-23.1,-22.61,-22.08,-21.16,0.6320608399900361
vedic_yam_nakshatra,47533,3,U Ashadha,32214,,,,,,,
